time,a.cont OuterVoltage,a.cont InnerVoltage,a.cont QuasiFermiPotential,a.cont DisplacementCurrent,a.cont eCurrent,a.cont hCurrent,a.cont TotalCurrent,a.cont Charge,k.cont OuterVoltage,k.cont InnerVoltage,k.cont QuasiFermiPotential,k.cont DisplacementCurrent,k.cont eCurrent,k.cont hCurrent,k.cont TotalCurrent,k.cont Charge,Integr eDensity,Integr hDensity
Time,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,eDensity,hDensity
0,0,0,0,2.3324615e-33,6.2984712e-26,2.7416477e-20,2.741654e-20,-1.7473676e-16,0,0,0,-3.1434791e-35,-7.4910519e-29,-2.741654e-20,-2.741654e-20,1.7473676e-16,3.4052951e+15,8.4613477e+18
1e-10,0,0,0,-0.0011782316,3.0284596e-20,0.0011782285,-3.1147489e-9,-1.7501871e-16,0,0,0,1.5713083e-9,1.5434405e-9,5.4836797e-17,3.1147489e-9,1.7501871e-16,3.4043317e+15,9.1967331e+18
2.2e-10,0,0,0,-4.0346033e-8,-2.6545533e-21,4.2388704e-8,2.0426704e-9,-1.7479136e-16,0,0,0,-1.6456796e-9,-3.9699077e-10,-1.4102987e-17,-2.0426704e-9,1.7479136e-16,3.4046291e+15,9.1967648e+18
3.64e-10,0,0,0,-1.2181645e-12,-1.8502514e-21,1.60149e-10,1.5893084e-10,-1.7477393e-16,0,0,0,9.8564695e-11,-2.5749553e-10,-9.1449943e-18,-1.5893084e-10,1.7477393e-16,3.4048605e+15,9.196765e+18
5.368e-10,0,0,0,-1.0623812e-15,-1.0730816e-21,9.5487685e-11,9.5486623e-11,-1.7476053e-16,0,0,0,6.0042877e-11,-1.5552949e-10,-5.5168709e-18,-9.5486623e-11,1.7476053e-16,3.4050282e+15,9.1967651e+18
7.4416e-10,0,0,0,-1.2220762e-15,-5.8552513e-22,5.4317688e-11,5.4316466e-11,-1.7475134e-16,0,0,0,3.3317599e-11,-8.7634062e-11,-3.089767e-18,-5.4316466e-11,1.7475134e-16,3.4051417e+15,9.1967651e+18
9.92992e-10,0,0,0,-2.513181e-13,1.0543867e-9,-1.7523409e-8,-1.6469274e-8,-1.7368299e-16,0,0,0,4.8079469e-9,1.1661387e-8,-6.0209637e-14,1.6469274e-8,1.7368299e-16,3.4493965e+15,9.1968019e+18
9.96496e-10,0,0,0,-1.7204038e-9,2.7989934e-6,-7.261919e-6,-4.464646e-6,-1.3931266e-16,0,0,0,4.3066257e-6,1.580204e-7,-5.0736949e-14,4.464646e-6,1.3931266e-16,1.4464038e+16,9.2077224e+18
1e-9,0,0,0,2.439498e-8,3.3933544e-5,-4.8086039e-5,-1.4128101e-5,-5.6188987e-17,0,0,0,1.3535065e-5,5.9303626e-7,-2.0546976e-14,1.4128101e-5,5.6188987e-17,1.4225181e+17,9.3352136e+18
1.0050458e-9,0,0,0,1.851889e-8,4.6801461e-5,-5.1795541e-5,-4.9755615e-6,-2.9147812e-17,0,0,0,4.200469e-6,7.7509247e-7,-6.4775391e-15,4.9755615e-6,2.9147812e-17,2.7880573e+17,9.4716347e+18
1.0075229e-9,0,0,0,-1.5829823e-8,3.3434034e-5,-3.6023097e-5,-2.6048932e-6,-2.5672323e-17,0,0,0,1.7925971e-6,8.1229609e-7,-3.0660491e-15,2.6048932e-6,2.5672323e-17,2.7987245e+17,9.4726739e+18
