time,a.cont OuterVoltage,a.cont InnerVoltage,a.cont QuasiFermiPotential,a.cont DisplacementCurrent,a.cont eCurrent,a.cont hCurrent,a.cont TotalCurrent,a.cont Charge,k.cont OuterVoltage,k.cont InnerVoltage,k.cont QuasiFermiPotential,k.cont DisplacementCurrent,k.cont eCurrent,k.cont hCurrent,k.cont TotalCurrent,k.cont Charge,Min ElectricField/x,Min X_ElectricField/x,Min Y_ElectricField/x,Min ElectricField/y,Min X_ElectricField/y,Min Y_ElectricField/y,Max ElectricField/x,Max X_ElectricField/x,Max Y_ElectricField/x,Max ElectricField/y,Max X_ElectricField/y,Max Y_ElectricField/y
Time,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,ElectricField,X_ElectricField/x,Y_ElectricField/x,ElectricField,X_ElectricField/y,Y_ElectricField/y,ElectricField,X_ElectricField/x,Y_ElectricField/x,ElectricField,X_ElectricField/y,Y_ElectricField/y
1e-9,-9e-8,-9e-8,0,-3.9101401e-16,-4.2824179e-25,-1.8244288e-14,-1.8635302e-14,-1.7473677e-16,0,0,0,1.7215308e-15,1.691377e-14,6.6188707e-22,1.8635302e-14,1.7473677e-16,-39294.764,0,6,-15020.059,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.395,0.1101,3.8199626
3e-9,-2.7e-7,-2.7e-7,0,-2.6743174e-16,-1.4906946e-24,-2.0965404e-14,-2.1232835e-14,-1.7473681e-16,0,0,0,2.0947755e-16,2.1023356e-14,2.0172562e-21,2.1232835e-14,1.7473681e-16,-39294.764,0,6,-15020.059,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.395,0.1101,3.8199626
7e-9,-6.3e-7,-6.3e-7,0,-2.7064755e-16,-3.6665556e-24,-2.1309713e-14,-2.1580361e-14,-1.7473688e-16,0,0,0,1.4183437e-17,2.1566167e-14,1.0221061e-20,2.1580361e-14,1.7473688e-16,-39294.764,0,6,-15020.06,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.395,0.1101,3.8199626
1.5e-8,-1.35e-6,-1.35e-6,0,-4.016401e-16,-8.0250372e-24,-2.1203117e-14,-2.1604758e-14,-1.7473702e-16,0,0,0,8.5877141e-19,2.160386e-14,3.9134595e-20,2.1604758e-14,1.7473702e-16,-39294.764,0,6,-15020.061,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.396,0.1101,3.8199626
3.1e-8,-2.79e-6,-2.79e-6,0,-4.1483532e-16,-1.6742122e-23,-2.1190884e-14,-2.1605719e-14,-1.7473731e-16,0,0,0,3.9129005e-19,2.1605218e-14,1.0981868e-19,2.1605719e-14,1.7473731e-16,-39294.764,0,6,-15020.063,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.398,0.1101,3.8199626
6.3e-8,-5.67e-6,-5.67e-6,0,-4.2160417e-16,-3.4174853e-23,-2.1184285e-14,-2.1605889e-14,-1.7473788e-16,0,0,0,3.78205e-19,2.1605253e-14,2.5776438e-19,2.1605889e-14,1.7473788e-16,-39294.764,0,6,-15020.067,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.403,0.1101,3.8199626
1.27e-7,-1.143e-5,-1.143e-5,0,-3.5111547e-16,-6.9034476e-23,-2.1255082e-14,-2.1606198e-14,-1.7473902e-16,0,0,0,3.7034149e-19,2.1605272e-14,5.5532262e-19,2.1606198e-14,1.7473902e-16,-39294.764,0,6,-15020.075,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.411,0.1101,3.8199626
2.55e-7,-2.295e-5,-2.295e-5,0,-3.0750551e-16,-1.3873028e-22,-2.1299331e-14,-2.1606836e-14,-1.747413e-16,0,0,0,3.7747639e-19,2.1605309e-14,1.1504717e-18,2.1606836e-14,1.747413e-16,-39294.764,0,6,-15020.092,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.428,0.1101,3.8199626
5.11e-7,-4.599e-5,-4.599e-5,0,-4.0541383e-16,-2.7802793e-22,-2.1202684e-14,-2.1608098e-14,-1.7474586e-16,0,0,0,3.7660963e-19,2.1605382e-14,2.3400086e-18,2.1608098e-14,1.7474586e-16,-39294.764,0,6,-15020.125,0.1101,6.1800374,3756.5867,0.020788755,6.120569,15033.461,0.1101,3.8199626
1.023e-6,-9.207e-5,-9.207e-5,0,-3.9041808e-16,-5.5624868e-22,-2.1220208e-14,-2.1610627e-14,-1.7475498e-16,0,0,0,3.8405446e-19,2.1605527e-14,4.7159802e-18,2.1610627e-14,1.7475498e-16,-39294.764,0,6,-15020.192,0.1101,6.1800374,3756.5868,0.020788755,6.120569,15033.528,0.1101,3.8199626
2.047e-6,-0.00018423,-0.00018423,0,-4.35397e-16,-1.1111937e-21,-2.1180245e-14,-2.1615643e-14,-1.7477321e-16,0,0,0,3.7225392e-19,2.1605816e-14,9.4555385e-18,2.1615643e-14,1.7477321e-16,-39294.764,0,6,-15020.326,0.1101,6.1800374,3756.5868,0.020788755,6.120569,15033.661,0.1101,3.8199626
4.095e-6,-0.00036855,-0.00036855,0,-4.3970111e-16,-2.2151191e-21,-2.1185952e-14,-2.1625655e-14,-1.7480969e-16,0,0,0,3.8183999e-19,2.1606388e-14,1.8885318e-17,2.1625655e-14,1.7480969e-16,-39294.764,0,6,-15020.594,0.1101,6.1800374,3756.5869,0.020788755,6.120569,15033.928,0.1101,3.8199626
8.191e-6,-0.00073719,-0.00073719,0,-3.9731218e-16,-4.3992957e-21,-2.1248127e-14,-2.1645444e-14,-1.7488264e-16,0,0,0,3.8498454e-19,2.160751e-14,3.754898e-17,2.1645444e-14,1.7488264e-16,-39294.764,0,6,-15021.13,0.1101,6.1800374,3756.5871,0.020788755,6.120569,15034.462,0.1101,3.8199626
1.6383e-5,-0.00147447,-0.00147447,0,-4.437784e-16,-8.6744594e-21,-2.1240366e-14,-2.1684153e-14,-1.7502855e-16,0,0,0,3.8647801e-19,2.1609661e-14,7.4105653e-17,2.1684153e-14,1.7502855e-16,-39294.764,0,6,-15022.202,0.1101,6.1800374,3756.5876,0.020788755,6.120569,15035.531,0.1101,3.8199626
3.2767e-5,-0.00294903,-0.00294903,0,-4.047797e-16,-1.6864009e-20,-2.1353428e-14,-2.1758224e-14,-1.7532038e-16,0,0,0,3.8091074e-19,2.1613608e-14,1.4423561e-16,2.1758224e-14,1.7532038e-16,-39294.764,0,6,-15024.349,0.1101,6.1800374,3756.5884,0.020788755,6.120569,15037.671,0.1101,3.8199626
6.5535e-5,-0.00589815,-0.00589815,0,-5.2238045e-16,-3.18919e-20,-2.1371421e-14,-2.1893834e-14,-1.7590409e-16,0,0,0,3.7601807e-19,2.1620143e-14,2.7331454e-16,2.1893834e-14,1.7590409e-16,-39294.764,0,6,-15028.652,0.1101,6.1800374,3756.5902,0.020788755,6.120569,15041.961,0.1101,3.8199626
0.000131071,-0.01179639,-0.01179639,0,2.0708086e-16,-5.7208606e-20,-2.2327882e-14,-2.2120858e-14,-1.7707171e-16,0,0,0,3.875275e-19,2.162829e-14,4.9218064e-16,2.2120858e-14,1.7707171e-16,-39294.764,0,6,-15037.301,0.1101,6.1800374,3756.5936,0.020788755,6.120569,15050.582,0.1101,3.8199626
0.000262143,-0.02359287,-0.02359287,0,3.7180877e-16,-9.3227428e-20,-2.2808739e-14,-2.2437023e-14,-1.7940751e-16,0,0,0,3.938038e-19,2.1628445e-14,8.0818444e-16,2.2437023e-14,1.7940751e-16,-39294.764,0,6,-15054.762,0.1101,6.1800374,3756.6006,0.020788755,6.120569,15067.988,0.1101,3.8199626
0.000524287,-0.04718583,-0.04718583,0,1.0653128e-15,-1.3005637e-19,-2.3795459e-14,-2.2730276e-14,-1.840799e-16,0,0,0,4.2210254e-19,2.1585797e-14,1.1440572e-15,2.2730276e-14,1.840799e-16,-39294.764,0,6,-15090.33,0.1101,6.1800374,3756.6149,0.020788755,6.120569,15103.443,0.1101,3.8199626
0.001048575,-0.09437175,-0.09437175,0,9.8998577e-16,-1.4996279e-19,-2.3773853e-14,-2.2784017e-14,-1.9341752e-16,0,0,0,4.8078406e-19,2.1428992e-14,1.3545444e-15,2.2784017e-14,1.9341752e-16,-39294.764,0,6,-15163.986,0.1101,6.1800374,3756.6444,0.020788755,6.120569,15176.865,0.1101,3.8199626
0.002097151,-0.18874359,-0.18874359,0,1.1037036e-15,-1.5299956e-19,-2.3648999e-14,-2.2545449e-14,-2.1199847e-16,0,0,0,5.9587305e-19,2.1101696e-14,1.4431566e-15,2.2545449e-14,2.1199847e-16,-39294.764,0,6,-15320.89,0.1101,6.1800374,3756.7074,0.020788755,6.120569,15333.271,0.1101,3.8199626
0.004194303,-0.37748727,-0.37748727,0,1.5961154e-16,-1.5302387e-19,-2.2343999e-14,-2.2184541e-14,-2.4841321e-16,0,0,0,9.1898418e-19,2.0632771e-14,1.5508508e-15,2.2184541e-14,2.4841321e-16,-39294.764,0,6,-15671.32,0.1101,6.1823695,3756.8478,0.020788755,6.120569,15683.06,0.1101,3.8176305
0.008388607,-0.75497463,-0.75497463,0,-1.7788271e-15,-1.530271e-19,-2.0064118e-14,-2.1843098e-14,-3.1586392e-16,0,0,0,2.1634888e-18,2.0062312e-14,1.7786233e-15,2.1843098e-14,3.1586392e-16,-39294.764,0,6,-16564.99,0.11980605,6.1847016,3757.1672,0.020788755,6.120569,16573.049,0.11980605,3.8152984
0.016777215,-1.5099494,-1.5099494,0,5.2536728e-16,-1.5303329e-19,-2.3221478e-14,-2.2696263e-14,-4.2645821e-16,0,0,0,1.2348739e-17,2.0260128e-14,2.4237868e-15,2.2696263e-14,4.2645821e-16,-39294.764,0,6,-18819.864,0.12465907,6.1916979,3757.8623,0.020788755,6.120569,18824.389,0.12465907,3.8083021
0.033554431,-3.0198988,-3.0198988,0,1.9475224e-15,-1.5304502e-19,-2.9543353e-14,-2.7595984e-14,-5.9785511e-16,0,0,0,2.8074635e-16,2.1414877e-14,5.9003608e-15,2.7595984e-14,5.9785511e-16,-39294.764,0,6,-24419.425,0.13436513,6.1986942,3898.0714,0.034207843,6.1567165,24425.473,0.13436513,3.8013058
0.053554431,-4.8198988,-4.8198988,0,1.5094508e-15,-1.530586e-19,-5.4634079e-14,-5.3124782e-14,-7.6332273e-16,0,0,0,3.7208702e-15,1.9722036e-14,2.9681875e-14,5.3124782e-14,7.6332273e-16,-39294.764,0,6,-30814.169,0.13436513,6.1986942,4126.0781,0.034207843,6.1567165,30815.145,0.13436513,3.8013058
0.073554431,-6.6198988,-6.6198988,0,-6.7212683e-15,-1.5307327e-19,-9.1825296e-14,-9.8546718e-14,-9.1992778e-16,0,0,0,7.2308761e-15,1.7220091e-14,7.4095751e-14,9.8546718e-14,9.1992778e-16,-39294.764,0,6,-37231.772,0.13436513,6.1986942,4405.0357,0.034207843,6.1567165,37232.071,0.13436513,3.8013058
0.093554431,-8.4198988,-8.4198988,0,5.8905529e-15,-1.5308941e-19,-1.4879976e-13,-1.4290936e-13,-1.075745e-15,0,0,0,7.6930509e-15,1.7242605e-14,1.179737e-13,1.4290936e-13,1.075745e-15,-39294.764,0,6,-43781.59,0.13436513,6.1986942,4749.8737,0.039471895,3.8386193,43783.545,0.13436513,3.8013058
0.1,-9,-9,0,-5.0331433e-15,-1.5309489e-19,-1.5124754e-13,-1.5628084e-13,-1.1258784e-15,0,0,0,7.7457178e-15,1.7276203e-14,1.3125892e-13,1.5628084e-13,1.1258784e-15,-39294.764,0,6,-45908.075,0.13436513,6.1986942,4883.3553,0.039471895,3.8386193,45910.843,0.13436513,3.8013058
0.12,-10.8,-10.8,0,-3.829485e-16,-1.5311269e-19,-1.9436402e-13,-1.9474712e-13,-1.2812356e-15,0,0,0,7.7546066e-15,1.7425443e-14,1.6956707e-13,1.9474712e-13,1.2812356e-15,-39294.764,0,6,-52533.122,0.13436513,6.1986942,5333.3262,0.039471895,3.8386193,52538.87,0.13436513,3.8013058
0.14,-12.6,-12.6,0,5.3290387e-16,-1.5313156e-19,-2.2955388e-13,-2.2902113e-13,-1.4363314e-15,0,0,0,7.7515691e-15,1.7585732e-14,2.0368383e-13,2.2902113e-13,1.4363314e-15,-41759.68,0.47168237,5.9514924,-59183.008,0.13436513,6.1986942,5830.9073,0.039471895,3.8386193,59192.109,0.13436513,3.8013058
0.16,-14.4,-14.4,0,8.3281639e-15,-1.5315134e-19,-2.6785352e-13,-2.5952551e-13,-1.5912057e-15,0,0,0,7.7427833e-15,1.7719201e-14,2.3406353e-13,2.5952551e-13,1.5912057e-15,-46760.455,0.47168237,4.0485076,-65847.855,0.13436513,6.1986942,6366.3308,0.039471895,3.8386193,65907.641,0.14407117,3.80597
0.18,-16.2,-16.2,0,1.7382892e-14,-1.531719e-19,-3.0407146e-13,-2.8668872e-13,-1.7458865e-15,0,0,0,7.7337323e-15,1.7777048e-14,2.6117794e-13,2.8668872e-13,1.7458865e-15,-51743.442,0.47168237,4.0485076,-72523.278,0.13436513,6.1986942,6929.0575,0.039471895,3.8386193,72650.338,0.14407117,3.80597
0.2,-18,-18,0,1.6194363e-15,-1.5319316e-19,-3.1259787e-13,-3.1097859e-13,-1.9003953e-15,0,0,0,7.7252944e-15,1.7799563e-14,2.8545373e-13,3.1097859e-13,1.9003953e-15,-56699.251,0.47168237,4.0485076,-79263.982,0.13436513,6.19403,7508.7416,0.039471895,3.8386193,79400.628,0.14407117,3.80597
0.22,-19.8,-19.8,0,-1.4366204e-14,-1.53215e-19,-3.1842483e-13,-3.3279119e-13,-2.0547496e-15,0,0,0,7.7176152e-15,1.7811299e-14,3.0726227e-13,3.3279119e-13,2.0547496e-15,-61630.52,0.47168237,4.0485076,-86071.947,0.13436513,6.19403,8096.0345,0.039471895,3.8386193,86156.761,0.14407117,3.80597
0.24,-21.6,-21.6,0,-2.4197682e-15,-1.5323735e-19,-3.5003394e-13,-3.5245386e-13,-2.2089633e-15,0,0,0,7.7106145e-15,1.7820635e-14,3.2692261e-13,3.5245386e-13,2.2089633e-15,-66539.421,0.47168237,4.0485076,-92935.515,0.13436513,6.1916979,8683.1113,0.039471895,3.8386193,92917.512,0.14407117,3.80597
0.26,-23.4,-23.4,0,-1.6824156e-14,-1.5326013e-19,-3.5341675e-13,-3.7024106e-13,-2.3630483e-15,0,0,0,7.7041941e-15,1.7829292e-14,3.4470757e-13,3.7024106e-13,2.3630483e-15,-71427.863,0.47168237,4.0485076,-99804.409,0.13436513,6.1916979,9306.9265,0.034207843,6.1567165,99777.771,0.13436513,3.8083021
0.28,-25.2,-25.2,0,-3.5743736e-15,-1.5328328e-19,-3.8281143e-13,-3.8638596e-13,-2.5170145e-15,0,0,0,7.6982688e-15,1.783746e-14,3.6085023e-13,3.8638596e-13,2.5170145e-15,-76297.563,0.47168237,4.0485076,-106715.15,0.13436513,6.1893658,9935.6866,0.034207843,6.1567165,106688.99,0.13436513,3.8106342
0.3,-27,-27,0,2.0210746e-14,-1.5330674e-19,-4.2129859e-13,-4.01088e-13,-2.6708706e-15,0,0,0,7.6927689e-15,1.7845384e-14,3.7554985e-13,4.01088e-13,2.6708706e-15,-81150.045,0.47168237,4.0485076,-113643.1,0.13436513,6.1893658,10557.388,0.034207843,6.1567165,113618.31,0.13436513,3.8106342
0.32,-28.8,-28.8,0,-2.4463261e-15,-1.5333047e-19,-4.1207154e-13,-4.1451801e-13,-2.8246239e-15,0,0,0,7.6876387e-15,1.785324e-14,3.8897714e-13,4.1451801e-13,2.8246239e-15,-86117.565,0.44336475,4.029851,-120576.46,0.13436513,6.1870337,11168.419,0.034207843,6.1567165,120550.58,0.13436513,3.8129663
0.34,-30.6,-30.6,0,2.5608048e-15,-1.533544e-19,-4.2938329e-13,-4.2682264e-13,-2.9782809e-15,0,0,0,7.6828317e-15,1.7861085e-14,4.0127872e-13,4.2682264e-13,2.9782809e-15,-91136.39,0.44336475,4.029851,-127562.38,0.13436513,6.1870337,11766.395,0.034207843,6.1567165,127538.47,0.13436513,3.8129663
0.36,-32.4,-32.4,0,2.5801748e-14,-1.5337852e-19,-4.6392982e-13,-4.3812823e-13,-3.1318474e-15,0,0,0,7.6783103e-15,1.7868995e-14,4.1258092e-13,4.3812823e-13,3.1318474e-15,-96171.081,0.43628534,4.029851,-134549.03,0.13436513,6.1870337,12349.917,0.034207843,6.1567165,134527.13,0.13436513,3.8129663
0.38,-34.2,-34.2,0,4.9801616e-15,-1.5340278e-19,-4.5352389e-13,-4.4854388e-13,-3.2853286e-15,0,0,0,7.674043e-15,1.7876933e-14,4.2299291e-13,4.4854388e-13,3.2853286e-15,-101231.18,0.43628534,4.029851,-141536.13,0.13436513,6.1870337,12918.32,0.034207843,6.1567165,141516.28,0.13436513,3.8129663
0.4,-36,-36,0,8.734249e-15,-1.5342716e-19,-4.6689855e-13,-4.5816445e-13,-3.4387288e-15,0,0,0,7.6700032e-15,1.7885111e-14,4.3260934e-13,4.5816445e-13,3.4387288e-15,-106276.71,0.43628534,4.029851,-148577.8,0.13436513,6.1847016,13471.44,0.034207843,6.1567165,148555.17,0.13436513,3.8152984
0.42,-37.8,-37.8,0,1.7547534e-15,-1.5345162e-19,-4.6882681e-13,-4.6707221e-13,-3.5920524e-15,0,0,0,7.6661682e-15,1.7893459e-14,4.4151259e-13,4.6707221e-13,3.5920524e-15,-111320.07,0.42920594,4.029851,-155620.88,0.13436513,6.1847016,14009.446,0.034207843,6.1567165,155600.72,0.13436513,3.8152984
0.44,-39.6,-39.6,0,-1.4368152e-15,-1.5347615e-19,-4.7390197e-13,-4.7533894e-13,-3.7453029e-15,0,0,0,7.6625182e-15,1.7901869e-14,4.4977456e-13,4.7533894e-13,3.7453029e-15,-116411.55,0.42920594,4.029851,-162663.51,0.13436513,6.1847016,14532.695,0.034207843,6.1567165,162645.86,0.13436513,3.8152984
0.46,-41.4,-41.4,0,-8.8366994e-15,-1.5350073e-19,-4.7419077e-13,-4.8302762e-13,-3.8984837e-15,0,0,0,7.6590359e-15,1.7910354e-14,4.5745823e-13,4.8302762e-13,3.8984837e-15,-121490.09,0.42920594,4.029851,-169727.15,0.13436513,6.1823695,15041.655,0.034207843,6.1567165,169704.14,0.13436513,3.8176305
0.48,-43.2,-43.2,0,-1.4504802e-14,-1.5352535e-19,-4.7568866e-13,-4.9019362e-13,-4.0515979e-15,0,0,0,7.6557061e-15,1.7918961e-14,4.6461895e-13,4.9019362e-13,4.0515979e-15,-126556.34,0.42920594,4.029851,-176825.34,0.13436513,6.1823695,15536.839,0.034207843,6.1567165,176805.31,0.13436513,3.8176305
0.5,-45,-45,0,-2.0908668e-14,-1.5354997e-19,-4.7597691e-13,-4.9688573e-13,-4.2046482e-15,0,0,0,7.6525154e-15,1.7927715e-14,4.713055e-13,4.9688573e-13,4.2046482e-15,-131677.94,0.40088831,4.0018659,-183922.4,0.13436513,6.1823695,16018.774,0.034207843,6.1567165,183905.51,0.13436513,3.8176305
0.52,-46.8,-46.8,0,1.7136804e-15,-1.5357461e-19,-5.0486064e-13,-5.0314711e-13,-4.3576373e-15,0,0,0,7.6494519e-15,1.7936653e-14,4.7756101e-13,5.0314711e-13,4.3576373e-15,-136875.55,0.40088831,4.0018659,-191018.23,0.13436513,6.1823695,16536.342,0.036839869,6.1555505,191004.68,0.13436513,3.8176305
0.54,-48.6,-48.6,0,8.9599236e-15,-1.5359924e-19,-5.1797574e-13,-5.0901597e-13,-4.5105675e-15,0,0,0,7.6465053e-15,1.7945732e-14,4.8342374e-13,5.0901597e-13,4.5105675e-15,-142062.54,0.40088831,4.0018659,-198125.67,0.13436513,6.1800374,17126.935,0.039471895,3.8502798,198104.97,0.13436513,3.8199626
