time,a.cont OuterVoltage,a.cont InnerVoltage,a.cont QuasiFermiPotential,a.cont DisplacementCurrent,a.cont eCurrent,a.cont hCurrent,a.cont TotalCurrent,a.cont Charge,k.cont OuterVoltage,k.cont InnerVoltage,k.cont QuasiFermiPotential,k.cont DisplacementCurrent,k.cont eCurrent,k.cont hCurrent,k.cont TotalCurrent,k.cont Charge,Min ElectricField/x,Min X_ElectricField/x,Min Y_ElectricField/x,Min ElectricField/y,Min X_ElectricField/y,Min Y_ElectricField/y,Max ElectricField/x,Max X_ElectricField/x,Max Y_ElectricField/x,Max ElectricField/y,Max X_ElectricField/y,Max Y_ElectricField/y
Time,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,ElectricField,X_ElectricField/x,Y_ElectricField/x,ElectricField,X_ElectricField/y,Y_ElectricField/y,ElectricField,X_ElectricField/x,Y_ElectricField/x,ElectricField,X_ElectricField/y,Y_ElectricField/y
0,0,0,0,0,2.1982632e-29,6.0412227e-19,6.0412227e-19,-1.601894e-16,0,0,0,0,-1.8420358e-29,-6.0412227e-19,-6.0412227e-19,1.601894e-16,-4208.1778,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
0,0,0,0,0,-1.770512e-28,3.496316e-21,3.4963159e-21,-1.6019184e-16,0,0,0,0,1.7003434e-28,-3.496316e-21,-3.4963159e-21,1.6019184e-16,-4208.179,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
0,0,0,0,2.0196853e-34,-1.8537023e-28,3.496316e-21,3.4963159e-21,-1.6019184e-16,0,0,0,4.2829903e-35,1.7826193e-28,-3.496316e-21,-3.4963159e-21,1.6019184e-16,-4208.179,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
1e-9,2e-8,2e-8,0,4.5428835e-15,7.3983983e-24,7.2104523e-16,5.2639287e-15,-1.6019184e-16,0,0,0,-5.239687e-15,-2.3800269e-17,-4.4145652e-19,-5.2639287e-15,1.6019184e-16,-4208.179,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
3e-9,6e-8,6e-8,0,6.1320085e-19,2.9652457e-23,5.3248733e-15,5.3254865e-15,-1.6019184e-16,0,0,0,-5.2984986e-15,-2.5351221e-17,-1.6366489e-18,-5.3254865e-15,1.6019184e-16,-4208.179,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
7e-9,1.4e-7,1.4e-7,0,-3.87461e-20,7.2348178e-23,5.3316265e-15,5.3315878e-15,-1.6019183e-16,0,0,0,-5.3020315e-15,-2.5419049e-17,-4.137334e-18,-5.3315878e-15,1.6019183e-16,-4208.179,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
1.5e-8,3e-7,3e-7,0,-1.3333929e-19,1.5779668e-22,5.3369047e-15,5.3367715e-15,-1.6019181e-16,0,0,0,-5.3021897e-15,-2.5426093e-17,-9.1557683e-18,-5.3367715e-15,1.6019181e-16,-4208.179,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
3.1e-8,6.2e-7,6.2e-7,0,-8.2501051e-20,3.2870043e-22,5.3469024e-15,5.3468202e-15,-1.6019178e-16,0,0,0,-5.3021897e-15,-2.5436542e-17,-1.9193915e-17,-5.3468202e-15,1.6019178e-16,-4208.179,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
6.3e-8,1.26e-6,1.26e-6,0,7.5708482e-20,6.7051413e-22,5.3668526e-15,5.366929e-15,-1.6019171e-16,0,0,0,-5.3022011e-15,-2.5457373e-17,-3.9270564e-17,-5.366929e-15,1.6019171e-16,-4208.1789,0.45044416,0,-1060.3934,0,3.880597,13096.573,0,6,910.58167,0,6.2686567
